"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","confidence","Degree","Eccentricity","IsSingleNode","kingdom","name","NeighborhoodConnectivity","Node_Status","NumberOfDirectedEdges","NumberOfUndirectedEdges","NumChildren","NumDescendents","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","taxonomy","TopologicalCoefficient"
"210","5.29554656","0.01481566","0.18883792","0.16666667","0.999958568","4","9","false","Bacteria","461e7f5e649efb39835caeb97b7ca582","3.25","Clustered","4","0",,,"0","0.57044534","false","0","461e7f5e649efb39835caeb97b7ca582","1466","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae","0.30555556"
"170","5.32388664","0.01453561","0.1878327","0.16666667","0.99999413","4","9","false","Bacteria","6218f2c5a75bb8e64a245196c9f3bb17","3.5","Clustered","4","0",,,"0","0.56761134","false","0","6218f2c5a75bb8e64a245196c9f3bb17","1594","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__","0.3"
"864","5.14574899","0.00626734","0.19433517","0.0","0.999763395","2","8","false","Fungi","08a5bf9ecc4ef3c36f3676ad8d579535","4.0","Clustered","2","0",,,"0","0.5854251","false","0","08a5bf9ecc4ef3c36f3676ad8d579535","848","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales;f__Trichosphaeriaceae;g__Nigrospora;s__Nigrospora_oryzae","0.5"
"172","5.00404858","0.01519046","0.19983819","0.0","0.991508367","3","8","false","Bacteria","4c7b9df2d3f8d2b174457df047420340","3.66666667","Clustered","3","0",,,"0","0.59959514","false","0","4c7b9df2d3f8d2b174457df047420340","1914","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__; s__","0.33333333"
"197","5.09311741","0.01534862","0.1963434","0.0","0.999706885","3","8","false","Bacteria","142848ac26b587c9416e719223724741","3.33333333","Clustered","3","0",,,"0","0.59068826","false","0","142848ac26b587c9416e719223724741","1864","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales","0.33333333"
"1048","4.48582996","0.03875757","0.22292419","0.0","0.96788794","4","7","false","Fungi","c2a64bc741f28dfa56d039275a597b87","4.75","Clustered","4","0",,,"0","0.651417","false","0","c2a64bc741f28dfa56d039275a597b87","4116","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Stephanosporaceae;g__unidentified;s__unidentified","0.25"
"174","5.74898785","0.00316398","0.17394366","0.0","0.999149585","2","9","false","Bacteria","71a7756ec240c19e19c8ce5690b0622b","2.5","Clustered","2","0",,,"0","0.52510121","false","0","71a7756ec240c19e19c8ce5690b0622b","356","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__; s__","0.5"
"175","5.33603239","0.00619122","0.18740516","0.0","0.997669229","2","8","false","Bacteria","34610bd03bc29ae3a93e9a276cdf7181","3.0","Clustered","2","0",,,"0","0.56639676","false","0","34610bd03bc29ae3a93e9a276cdf7181","606","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__; s__","0.5"
"881","5.00809717","0.02901469","0.19967664","0.0","0.768181022","4","8","false","Fungi","b4fac27b1d9dada2be952f133829afd0","3.75","Clustered","4","0",,,"0","0.59919028","false","0","b4fac27b1d9dada2be952f133829afd0","3150","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_dichromosporum","0.25"
"176","6.37651822","5.2714E-4","0.1568254","0.0","0.77352757","2","10","false","Bacteria","5cba21f76a2570a5f875d5a39cf66c86","2.5","Clustered","2","0",,,"0","0.46234818","false","0","5cba21f76a2570a5f875d5a39cf66c86","60","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__Actinomadura; s__nitritigenes","0.5"
"177","5.951417","0.00324217","0.16802721","0.0","0.751542137","2","9","false","Bacteria","4116ccf274b0e0e0c50b21cbb9262c52","3.0","Clustered","2","0",,,"0","0.5048583","false","0","4116ccf274b0e0e0c50b21cbb9262c52","338","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__Actinomadura; s__nitritigenes","0.5"
"1049","5.90688259","0.01616142","0.16929404","0.0","0.916133383","3","9","false","Fungi","8155bbee45e42a0895c28b6afa5d01e9","2.0","Clustered","3","0",,,"0","0.50931174","false","0","8155bbee45e42a0895c28b6afa5d01e9","1650","k__Fungi;p__Ascomycota;c__Sordariomycetes","0.33333333"
"180","4.92307692","0.01117111","0.203125","0.33333333","0.993265035","3","8","false","Bacteria","f3a50d55b1d391f8bdb3b329c2f5e6ff","4.0","Clustered","3","0",,,"0","0.60769231","false","0","f3a50d55b1d391f8bdb3b329c2f5e6ff","1500","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","0.40740741"
"181","4.52226721","0.03489464","0.22112802","0.0","0.999999415","4","7","false","Bacteria","13f9b11b7ee7a08b4d1c28b7475d978a","4.0","Clustered","4","0",,,"0","0.64777328","false","0","13f9b11b7ee7a08b4d1c28b7475d978a","3964","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__","0.25"
"182","4.92712551","0.0319208","0.20295809","0.16666667","0.995107758","4","8","false","Bacteria","9d2e9be9d69dc7205192869ad0117423","3.5","Clustered","4","0",,,"0","0.60728745","false","0","9d2e9be9d69dc7205192869ad0117423","3378","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","0.3"
