SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,confidence,Degree,Eccentricity,IsSingleNode,kingdom,name,NeighborhoodConnectivity,Node_Status,NumberOfDirectedEdges,Radiality,selected,SelfLoops,shared name,Stress,taxonomy,TopologicalCoefficient
1474,4.6,0.03201065,0.2173913,0,0.980408568,4,8,FALSE,Fungi,318f5f8dfcbdb1ce426b5289653bbafc,3.25,,4,0.7,FALSE,0,318f5f8dfcbdb1ce426b5289653bbafc,2184,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.25
1027,4.89473684,0.03451709,0.20430108,0,0.935023059,4,9,FALSE,Fungi,9abe67b5d73e8b051aa95c9157f401eb,3.5,Clustered,4,0.6754386,FALSE,0,9abe67b5d73e8b051aa95c9157f401eb,2460,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Cercophora;s__unidentified,0.27777778
197,5.15789474,0.03243658,0.19387755,0.16666667,0.999706885,4,10,FALSE,Bacteria,142848ac26b587c9416e719223724741,3.75,Clustered,4,0.65350877,FALSE,0,142848ac26b587c9416e719223724741,2238,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales,0.29545455
148,5.22631579,0.03594722,0.19133938,0.16666667,0.999972908,4,10,FALSE,Bacteria,9ae115d0efcc5973d6042e4e34ce14f9,3.5,Clustered,4,0.64780702,FALSE,0,9ae115d0efcc5973d6042e4e34ce14f9,2228,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae,0.33333333
190,5.23684211,0.03291895,0.19095477,0,0.99997054,4,9,FALSE,Bacteria,580a6be2820ebbcd809ac62479fa7f10,2.75,Clustered,4,0.64692982,FALSE,0,580a6be2820ebbcd809ac62479fa7f10,1954,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae,0.25
475,4.83157895,0.03102035,0.20697168,0.16666667,0.999999988,4,8,FALSE,Bacteria,fd9c564a1f3fbbd46d876d91e0f19062,4,,4,0.68070175,FALSE,0,fd9c564a1f3fbbd46d876d91e0f19062,2038,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__,0.31818182
1475,5.83157895,0.01916015,0.17148014,0,0.988378931,4,10,FALSE,Fungi,2188e88c689f04f7e46f2c1e6999a959,3,,4,0.59736842,FALSE,0,2188e88c689f04f7e46f2c1e6999a959,1266,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__unidentified;s__unidentified,0.25
1476,4.56315789,0.06319755,0.21914648,0,0.999999921,4,9,FALSE,Fungi,5f16fb9508b52c558e5cfaff2e31d69d,4.5,,4,0.70307018,FALSE,0,5f16fb9508b52c558e5cfaff2e31d69d,4290,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae;g__Scolecobasidium;s__Scolecobasidium_constrictum,0.25
483,4.93157895,0.02067199,0.20277481,0.16666667,0.987209548,4,8,FALSE,Bacteria,1b9200eff1bb93d1a55fa842e053132c,2.75,,4,0.67236842,FALSE,0,1b9200eff1bb93d1a55fa842e053132c,1350,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__,0.32142857
844,4.87368421,0.01873534,0.20518359,0,0.990171703,3,8,FALSE,Fungi,dd53586548c8a01f5333a89771d85550,4.33333333,Clustered,3,0.67719298,FALSE,0,dd53586548c8a01f5333a89771d85550,1318,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Achroiostachys;s__Achroiostachys_phyllophila,0.33333333
1469,5.26842105,0.02178247,0.18981019,0,0.875906838,3,10,FALSE,Fungi,10b7a9e61d35e8e20f3201a4edf307c9,3,,3,0.64429825,FALSE,0,10b7a9e61d35e8e20f3201a4edf307c9,1380,k__Fungi;p__Ascomycota;c__Sordariomycetes,0.33333333
