SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,confidence,Degree,Eccentricity,IsSingleNode,kingdom,name,NeighborhoodConnectivity,Node_Status,NumberOfDirectedEdges,NumberOfUndirectedEdges,NumChildren,NumDescendents,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,taxonomy,TopologicalCoefficient
76,4.91666667,0.0123358,0.20338983,0.2,0.99999561,5,8,FALSE,Bacteria,b61577869b90f238ee166f6bc55edecc,3.2,Clustered,5,0,,,0,0.64393939,FALSE,0,b61577869b90f238ee166f6bc55edecc,1210,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__,0.28
170,5.06578947,0.00600723,0.1974026,0.33333333,0.99999413,3,8,FALSE,Bacteria,6218f2c5a75bb8e64a245196c9f3bb17,4.33333333,Clustered,3,0,,,0,0.63038278,FALSE,0,6218f2c5a75bb8e64a245196c9f3bb17,640,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__,0.44444444
927,4.72368421,0.02769145,0.21169916,0,0.72715059,4,9,FALSE,Fungi,ed5811c7c77164a16814d82eb34a933d,4.25,Clustered,4,0,,,0,0.66148325,FALSE,0,ed5811c7c77164a16814d82eb34a933d,2796,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__unidentified;s__unidentified,0.25
856,4.39912281,0.03112566,0.22731805,0,0.999999851,4,9,FALSE,Fungi,433cb6c360bb91685919d4ff640322cd,4.75,Clustered,4,0,,,0,0.69098884,FALSE,0,433cb6c360bb91685919d4ff640322cd,2792,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_acutatum,0.25
100,5.3245614,0.00811058,0.1878089,0,0.999929788,2,9,FALSE,Bacteria,a4099dce6fc71ab784cfafbccecc72a9,3.5,Clustered,2,0,,,0,0.60685805,FALSE,0,a4099dce6fc71ab784cfafbccecc72a9,714,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Myxococcaceae; g__; s__,0.5
197,4.70175439,0.03077772,0.21268657,0,0.999706885,4,10,FALSE,Bacteria,142848ac26b587c9416e719223724741,3.25,Clustered,4,0,,,0,0.66347687,FALSE,0,142848ac26b587c9416e719223724741,2618,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales,0.25
1471,5.15789474,0.01271381,0.19387755,0,0.800878915,3,9,FALSE,Fungi,aeceb38bb17c79346bcb553d00c34afe,3,,3,0,,,0,0.62200957,FALSE,0,aeceb38bb17c79346bcb553d00c34afe,1098,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Berkleasmium;s__unidentified,0.33333333
669,5.61403509,0.00430782,0.178125,0,0.99990221,2,9,FALSE,Bacteria,797c9b14eaccc7bcfaa0a385989e6992,3.5,,2,0,,,0,0.58054226,FALSE,0,797c9b14eaccc7bcfaa0a385989e6992,374,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Myxococcaceae; g__; s__,0.5
463,6.24561404,0,0.16011236,1,0.999999999,2,9,FALSE,Bacteria,6b6c23cc57a167b94454bc8469b65a7b,3,,2,0,,,0,0.523126,FALSE,0,6b6c23cc57a167b94454bc8469b65a7b,0,k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__; s__,0.75
79,4.84210526,0.02644843,0.20652174,0.1,0.999990832,5,8,FALSE,Bacteria,d1527d3cb3f279c7b91030d50eb74902,3.4,Clustered,5,0,,,0,0.6507177,FALSE,0,d1527d3cb3f279c7b91030d50eb74902,2376,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Ellin6067; f__; g__; s__,0.23333333
670,4.98245614,0.02167012,0.20070423,0,0.999999999,3,9,FALSE,Bacteria,fbdcdad575b25189f5b2f84b16004c74,4.33333333,,3,0,,,0,0.63795853,FALSE,0,fbdcdad575b25189f5b2f84b16004c74,1816,k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__; s__,0.33333333
465,6.24561404,0,0.16011236,1,0.999999999,2,9,FALSE,Bacteria,a8b0c7f481b21fbe61bd12f14d17423e,3,,2,0,,,0,0.523126,FALSE,0,a8b0c7f481b21fbe61bd12f14d17423e,0,k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__; s__,0.75
466,5.25438596,0.02277218,0.1903172,0.16666667,0.999999999,4,8,FALSE,Bacteria,ad8e326f6198e42cc6ec0c10bda6cf0a,3,,4,0,,,0,0.61323764,FALSE,0,ad8e326f6198e42cc6ec0c10bda6cf0a,2028,k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__; s__,0.3125
