SampleID	2.A.2	2.A.4	2.A.5	2.B.3	2.B.4	2.B.6	2.C.2	2.C.5	2.C.6	3.A.2	3.A.4	3.A.5	3.B.3	3.B.4	3.B.6	3.C.2	3.C.5	3.C.6
91b5f919ea903f968a8c0691f3f8c7d0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
db5e002c3426f6c396fcc9bd99675d0b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0
62d195f17a024fadbeb3e3e95c2343e3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
aff276680775fd159ec4d776cca43017	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
df7aedfee7c0a63e1a192344684b0b9a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
715b59d87b886104899a0c014f1dd25b	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0
bb5b748ccb4ee2d28902a5f7b3b2fb58	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
4b7d3c930450b39c592e5863aadff060	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0
6a649083b8b70b3fe3037f525c3a56bf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2e1bc59068b0c4aadecfc4eaa6f478df	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23f937d933b1b02f3861978f0b392922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7fc167836d50c526f2de406ffc70fee8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1a19d6b56309b3c323cdd11cfc358d6e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c71fe2b3ea0977ecd0bd013be8b7802a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06875743046554c1f7f1286928f1c14a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6bba62564fae1189a8c35610387bfb9c	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
7399fd02894ccfd6cf7af96e3266c96d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57b8e41d059efaf9ba413a1a4b4e1aed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c77ff1c873e686847e9620a4fc1e91b9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
9afd0377b3fa28f4f450d90bfae6c4dd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5e0a5f6fc2c722d19f51aba45a8c2e9a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
